Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 20,Barriers to innovation,All New Zealand businesses,Government regulation,Barrier affected innovation to medium degree,Percent,12,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Cost to develop or introduce,Barrier affected innovation to low degree,Percent,12,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of information,Barrier affected innovation to low degree,Percent,21,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of marketing expertise,Barrier affected innovation to low degree,Percent,18,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of cooperation with other businesses,Barrier affected innovation to low degree,Percent,17,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Access to intellectual property rights,Barrier affected innovation to low degree,Percent,12,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of appropriate personnel,Barrier affected innovation to low degree,Percent,17,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of management resources,Barrier affected innovation to low degree,Percent,15,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Government regulation,Barrier affected innovation to low degree,Percent,14,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Cost to develop or introduce,Did not hamper innovation,Percent,47,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of information,Did not hamper innovation,Percent,62,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of marketing expertise,Did not hamper innovation,Percent,63,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of cooperation with other businesses,Did not hamper innovation,Percent,73,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Access to intellectual property rights,Did not hamper innovation,Percent,81,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of appropriate personnel,Did not hamper innovation,Percent,50,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of management resources,Did not hamper innovation,Percent,46,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Government regulation,Did not hamper innovation,Percent,65,2021,1 and 2 and 5
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Very aware,All Maori authorities,Percent,70,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Somewhat aware,All Maori authorities,Percent,30,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Not aware,All Maori authorities,Percent,C,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Don't know,All Maori authorities,Percent,C,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Very aware,Maori authorities - primary industries (6-29 employees),Percent,75,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Somewhat aware,Maori authorities - primary industries (6-29 employees),Percent,30,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Not aware,Maori authorities - primary industries (6-29 employees),Percent,0,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Don't know,Maori authorities - primary industries (6-29 employees),Percent,0,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Very aware,Maori authorities - primary industries (30 or more employees),Percent,75,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Somewhat aware,Maori authorities - primary industries (30 or more employees),Percent,25,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Not aware,Maori authorities - primary industries (30 or more employees),Percent,0,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Don't know,Maori authorities - primary industries (30 or more employees),Percent,0,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Very aware,Maori authorities - other industries (6-29 employees),Percent,63,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Somewhat aware,Maori authorities - other industries (6-29 employees),Percent,32,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Not aware,Maori authorities - other industries (6-29 employees),Percent,C,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Don't know,Maori authorities - other industries (6-29 employees),Percent,C,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Very aware,Maori authorities - other industries (30 or more employees),Percent,73,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Somewhat aware,Maori authorities - other industries (30 or more employees),Percent,27,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Not aware,Maori authorities - other industries (30 or more employees),Percent,0,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Don't know,Maori authorities - other industries (30 or more employees),Percent,0,2021,1 and 2 and 3
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Very aware,Other Maori enterprises,Percent,47,2021,1 and 4
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Somewhat aware,Other Maori enterprises,Percent,42,2021,1 and 4
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Not aware,Other Maori enterprises,Percent,5,2021,1 and 4
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Don't know,Other Maori enterprises,Percent,7,2021,1 and 4
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Very aware,All New Zealand businesses,Percent,39,2021,1 and 5
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Somewhat aware,All New Zealand businesses,Percent,45,2021,1 and 5
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Not aware,All New Zealand businesses,Percent,8,2021,1 and 5
Table 21,Businesses' awareness of the potential impact of climate change,By business type,Don't know,All New Zealand businesses,Percent,8,2021,1 and 5
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,All Maori authorities,Percent,54,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,All Maori authorities,Percent,44,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,All Maori authorities,Percent,C,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,All Maori authorities,Percent,C,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,Maori authorities - primary industries (6-29 employees),Percent,55,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,Maori authorities - primary industries (6-29 employees),Percent,50,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,Maori authorities - primary industries (6-29 employees),Percent,0,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,Maori authorities - primary industries (6-29 employees),Percent,0,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,Maori authorities - primary industries (30 or more employees),Percent,75,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,Maori authorities - primary industries (30 or more employees),Percent,25,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,Maori authorities - primary industries (30 or more employees),Percent,0,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,Maori authorities - primary industries (30 or more employees),Percent,C,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,Maori authorities - other industries (6-29 employees),Percent,47,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,Maori authorities - other industries (6-29 employees),Percent,47,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,Maori authorities - other industries (6-29 employees),Percent,C,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,Maori authorities - other industries (6-29 employees),Percent,C,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,Maori authorities - other industries (30 or more employees),Percent,55,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,Maori authorities - other industries (30 or more employees),Percent,36,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,Maori authorities - other industries (30 or more employees),Percent,C,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,Maori authorities - other industries (30 or more employees),Percent,C,2021,1 and 2 and 3
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,Other Maori enterprises,Percent,34,2021,1 and 4
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,Other Maori enterprises,Percent,56,2021,1 and 4
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,Other Maori enterprises,Percent,8,2021,1 and 4
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,Other Maori enterprises,Percent,3,2021,1 and 4
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,All New Zealand businesses,Percent,27,2021,1 and 5
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,All New Zealand businesses,Percent,55,2021,1 and 5
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,All New Zealand businesses,Percent,11,2021,1 and 5
Table 22,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,All New Zealand businesses,Percent,7,2021,1 and 5
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - in response to climate change,Maori authorities,Percent,26,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - in response to climate change,Maori authorities,Percent,30,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - in response to climate change,Maori authorities,Percent,C,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - in response to climate change,Maori authorities,Percent,6,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - in response to climate change,Maori authorities,Percent,11,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - in response to climate change,Maori authorities,Percent,11,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - in response to climate change,Maori authorities,Percent,9,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - in response to climate change,Maori authorities,Percent,33,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - in response to climate change,Maori authorities,Percent,28,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Overall - in response to climate change,Maori authorities,Percent,54,2021,1 and 2 and 3 and 4 and 5
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - for some other reason,Maori authorities,Percent,30,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - for some other reason,Maori authorities,Percent,24,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - for some other reason,Maori authorities,Percent,C,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - for some other reason,Maori authorities,Percent,4,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - for some other reason,Maori authorities,Percent,9,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - for some other reason,Maori authorities,Percent,9,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - for some other reason,Maori authorities,Percent,46,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - for some other reason,Maori authorities,Percent,17,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - for some other reason,Maori authorities,Percent,15,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Overall - for some other reason,Maori authorities,Percent,69,2021,1 and 2 and 3 and 4 and 6
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - not done,Maori authorities,Percent,22,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - not done,Maori authorities,Percent,20,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - not done,Maori authorities,Percent,19,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - not done,Maori authorities,Percent,22,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - not done,Maori authorities,Percent,35,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - not done,Maori authorities,Percent,39,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - not done,Maori authorities,Percent,15,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - not done,Maori authorities,Percent,24,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - not done,Maori authorities,Percent,33,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Overall - not done,Maori authorities,Percent,..,2021,1 and 2 and 3 and 4
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - not applicable,Maori authorities,Percent,17,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - not applicable,Maori authorities,Percent,11,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - not applicable,Maori authorities,Percent,67,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - not applicable,Maori authorities,Percent,61,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - not applicable,Maori authorities,Percent,31,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - not applicable,Maori authorities,Percent,24,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - not applicable,Maori authorities,Percent,20,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - not applicable,Maori authorities,Percent,17,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - not applicable,Maori authorities,Percent,17,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Overall - not applicable,Maori authorities,Percent,..,2021,1 and 2 and 3 and 4
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - don't know,Maori authorities,Percent,9,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - don't know,Maori authorities,Percent,9,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - don't know,Maori authorities,Percent,9,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - don't know,Maori authorities,Percent,9,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - don't know,Maori authorities,Percent,9,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - don't know,Maori authorities,Percent,11,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - don't know,Maori authorities,Percent,7,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - don't know,Maori authorities,Percent,9,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - don't know,Maori authorities,Percent,11,2021,1 and 2 and 3
Table 23,Actions businesses undertook in the last two years,By business type,Overall - don't know,Maori authorities,Percent,..,2021,1 and 2 and 3 and 4
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - in response to climate change,Other Maori enterprises,Percent,5,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - in response to climate change,Other Maori enterprises,Percent,25,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - in response to climate change,Other Maori enterprises,Percent,C,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - in response to climate change,Other Maori enterprises,Percent,8,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - in response to climate change,Other Maori enterprises,Percent,12,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - in response to climate change,Other Maori enterprises,Percent,12,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - in response to climate change,Other Maori enterprises,Percent,12,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - in response to climate change,Other Maori enterprises,Percent,15,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - in response to climate change,Other Maori enterprises,Percent,12,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Overall - in response to climate change,Other Maori enterprises,Percent,41,2021,1 and 4 and 5 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - for some other reason,Other Maori enterprises,Percent,12,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - for some other reason,Other Maori enterprises,Percent,41,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - for some other reason,Other Maori enterprises,Percent,C,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - for some other reason,Other Maori enterprises,Percent,3,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - for some other reason,Other Maori enterprises,Percent,10,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - for some other reason,Other Maori enterprises,Percent,8,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - for some other reason,Other Maori enterprises,Percent,47,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - for some other reason,Other Maori enterprises,Percent,14,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - for some other reason,Other Maori enterprises,Percent,14,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Overall - for some other reason,Other Maori enterprises,Percent,66,2021,1 and 4 and 6 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - not done,Other Maori enterprises,Percent,42,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - not done,Other Maori enterprises,Percent,10,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - not done,Other Maori enterprises,Percent,14,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - not done,Other Maori enterprises,Percent,25,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - not done,Other Maori enterprises,Percent,31,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - not done,Other Maori enterprises,Percent,41,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - not done,Other Maori enterprises,Percent,15,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - not done,Other Maori enterprises,Percent,32,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - not done,Other Maori enterprises,Percent,36,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Overall - not done,Other Maori enterprises,Percent,..,2021,1 and 4 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - not applicable,Other Maori enterprises,Percent,36,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - not applicable,Other Maori enterprises,Percent,14,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - not applicable,Other Maori enterprises,Percent,78,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - not applicable,Other Maori enterprises,Percent,61,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - not applicable,Other Maori enterprises,Percent,39,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - not applicable,Other Maori enterprises,Percent,29,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - not applicable,Other Maori enterprises,Percent,22,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - not applicable,Other Maori enterprises,Percent,31,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - not applicable,Other Maori enterprises,Percent,34,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Overall - not applicable,Other Maori enterprises,Percent,..,2021,1 and 4 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - don't know,Other Maori enterprises,Percent,5,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - don't know,Other Maori enterprises,Percent,5,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - don't know,Other Maori enterprises,Percent,3,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - don't know,Other Maori enterprises,Percent,3,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - don't know,Other Maori enterprises,Percent,3,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - don't know,Other Maori enterprises,Percent,7,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - don't know,Other Maori enterprises,Percent,5,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - don't know,Other Maori enterprises,Percent,7,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - don't know,Other Maori enterprises,Percent,8,2021,1 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Overall - don't know,Other Maori enterprises,Percent,..,2021,1 and 4 and 7
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - in response to climate change,All New Zealand businesses,Percent,6,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - in response to climate change,All New Zealand businesses,Percent,23,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - in response to climate change,All New Zealand businesses,Percent,1,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - in response to climate change,All New Zealand businesses,Percent,6,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - in response to climate change,All New Zealand businesses,Percent,8,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - in response to climate change,All New Zealand businesses,Percent,11,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - in response to climate change,All New Zealand businesses,Percent,10,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - in response to climate change,All New Zealand businesses,Percent,9,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - in response to climate change,All New Zealand businesses,Percent,8,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Overall - in response to climate change,All New Zealand businesses,Percent,35,2021,1 and 4 and 5 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - for some other reason,All New Zealand businesses,Percent,7,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Reduced waste - for some other reason,All New Zealand businesses,Percent,34,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - for some other reason,All New Zealand businesses,Percent,1,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - for some other reason,All New Zealand businesses,Percent,4,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - for some other reason,All New Zealand businesses,Percent,6,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - for some other reason,All New Zealand businesses,Percent,9,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - for some other reason,All New Zealand businesses,Percent,39,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - for some other reason,All New Zealand businesses,Percent,7,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - for some other reason,All New Zealand businesses,Percent,7,2021,1 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Overall - for some other reason,All New Zealand businesses,Percent,59,2021,1 and 4 and 6 and 8
Table 23,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - not done,All New Zealand businesses,Percent,41,2021,1 and 8
